"bambara","french"
"Kalamɔɲɔ kɛra tasuma la ka yeelen bonya.","On versa branchages et paille sur le feu pour obtenir une bonne lumière."
"Jaason y'a ka dunun bila a kan na, ka dunun fɔ ka bɛn ni dɔnkili ye :","Diasson mit son tam-tam à son cou, puis il se mit à jouer du tam-tam et, sur ce rythme, commença à chanter :"
"- ne ka tukutukubara min filɛ, ne ka takatakabara min filɛ, ni bara ma mɔgɔninfinkan fɔ, dugudenw ka kuntigɛjuru bɛ n na.","- Mon toucou-toucou-bara que voici, mon toucou-toucou-bara que voilà,  si mon tam-tam ne parle pas, que les villageois ont le droit de me couper la tête."
"Kabini o kɛra, toro y'a jaabi dunun kɔnɔ :","À ce moment-là, le rat répondit depuis l’intérieur du tam-tam :"
"- Tin ! Kin ! Njoo !","- Ting !  King !  Bam !"
"Ne bɛ mɔgɔkan fɔ !","Je parle comme les gens !"
"- Tin ! Kin ! Njoo !","- Ting !  King !  Bam !"
"Ne bɛ mɔgɔkan fɔ !","Je parle comme les gens !"
"O kɛlen, jama nisɔndiyara, jama kabakoyara.","Alors, une joie et un étonnement sans précédent s’emparèrent de la foule."
"Dɔ jasiranna, dɔ dabali banna.","Certains prirent peur, d'autres n'en croyaient pas leurs oreilles."
"Dugutigi y'a fɔ sonsannin ye ko a ka ɲɛnajɛ ka di, ko su kelen tɛ u fara ɲɔgɔn na.","Le chef du village dit au lièvre que son spectacle était très bon,  mais qu'ils n'allaient pas se séparer mme ça après une seule soirée."
"Sonsan ye su saba kɛ yen sogo ni basi kan, ka sɔrɔ ka tɛmɛ ka taga dugu wɛrɛ la, min kɔrɔtɔlen tun don k'a kɔnɔ.","Diasson y passa donc trois nuits de suite, se gavant de viande et de couscous,  puis ils partirent vers un autre village, qui les attendait déjà avec impatience."
"Surukuba y'o kibaruya mɛn tuma min na, o ye kolikɛba dɔ koron k'o minɛ.","Mise au courant de la nouvelle, la hyène se mit à poursuivre un margouillat qu’elle attrapa."
"A y'a sugusugu a ka dunun wo fɛ ka sɔrɔ ka taga dugu dɔ la.","Elle fourra le reptile par le trou de son tam-tam et se rendit dans un village."
"A sera tuma min na, a ko dugutigi ma :","Elle se fit conduire chez le chef du village et lui dit :"
"- a fɔ i ka dugudenw ye, ko u bɛɛ ka na ni basi ye, sogo, kini, dɛgɛ, ani dumuni duman caman ye.","- Va dire à tes habitants qu'ils m'apportent beaucoup de couscous, de viande, de riz, de bouillie et d'autres nourritures succulentes."
"Ni su kora, ne bɛ ɲɛnajɛ bɔ, ne ka dunun bɛ kuma.","Quand la nuit sera tombée, je vais vous faire un spectacle : mon tam-tam parle."
"Dugumɔgɔ ye dumuni duman sugu bɛɛ tobi, ka surukuba fana n'o ye.","Les villageois cuisinèrent toutes sortes de plats et les offrirent à la hyène."
"Suruku y'o bɛɛ dun ka kolikɛba to bara kɔnɔ.","Elle mangea tout, laissant le margouillat à l'intérieur du tam-tam."
"O tun bɛ to k'a kunkolo bɔ wonin fɛ, ka dununtigi nuguma lajɛ a bɛ ka sogo kunu.","Par le trou, celui-ci ne pouvait que regarder le vorace maître du tam-tam se goinfrer de bonne viande."
"Su kora tuma min na, dugutigi ye mɔgɔ bila ka surukuba weele ko ɲɛnajɛ bɔtuma sera.","À la nuit tombée, le chef du village envoya quelqu'un dire à la hyène que c'était l'heure du spectacle."
"Fɛrɛ kɔnɔ o wagati la, o y'a sɔrɔ dugumɔgɔw labɛnnen don ni marifaw, ani tamaw ni berekurunw ye.","À ce moment-là sur la place publique, on pouvait voir les villageois tous armés de fusils, de lances et de bâtons."
"U tun bɛnnen don a kan ko ni dunun ma se ka kuma, surukuba bɛ faga.","Ils s’étaient mis d’accord : « si le tam-tam de la hyène ne parle pas, elle sera tuée »."
"Dununfɔladunan y'i jɔ fɛrɛ cɛmancɛ la ka dɔnkili da :","L'étrangère joueuse de tam-tam s'arrêta au milieu de la place et se mit à chanter :"
"- ne ka tukutukubara min filɛ, ne ka takatakabara min filɛ, ni bara ma mɔgɔninfinkan fɔ, dugudenw ka kuntigɛjuru bɛ n na.","- Mon toucou-toucou-bara que voici, mon toucou-toucou-bara que voilà, si mon tam-tam ne parle pas comme les hommes,  les habitants ont le droit de me couper la tête."
"Kolikɛba diminen ma kuma.","Le margouillat, fâché, demeura muet."
"Surukuba ko :","La hyène dit alors :"
"- aw ka sabali fɔlɔ.","- Patientez quelques instants."
"Ne hakili bɔra ka kilisi fɔ bara la.","J’ai oublié de faire des incantations magiques à mon tam-tam."
"Ni o ma kɛ, a tɛ kuma.","Sans cela, il ne peut pas parler."
"U ye yamariya di surukuba ma, ko a k'o laada latilen.","Ils autorisèrent la hyène à respecter comme il faut ses coutumes traditionnelles."
"A y'a biri, k'a kunkolo gɛrɛ bara wo la, ka dɔgɔdɔgɔninfɔ kolikɛba ye ko :","Elle se pencha, approcha sa tête de l’ouverture, elle s’adressa tout doucement au margouillat :"
"- ni i ma dɔnkili da, ni i ma dɔnkili laminɛ, an bɛɛ bɛ kɛ su ye sisan.","- Si tu ne chantes pas, si tu ne reprends pas le refrain, dans un instant il ne restera de nous que deux cadavres !"
"Kolikɛba y'a jaabi ko :","Le margouillat lui répondit :"
"- n kɔni tɛ fosi fɔ, sabu ne nugu lankolon don.","- Quant à moi, je ne dirai rien, car mon estomac est vide."
"Dugumɔgɔ ye ne faga o, dugumɔgɔ ma ne faga o, kɔngɔ bɛ ne faga.","Que les villageois me tuent ici ou qu’ils me laissent vivant, la famine va de toute façon m’ôter la vie."
"N kɔrɔ suruku, i ka ko ye i bolo.","Ma chère hyène, débrouille-toi !"
"O kɛra yɔrɔ min na, surukuba ye dunun fili, k'i pan ko a bɛ jama cɛci ka boli.","Aussitôt, la hyène jeta le tam-tam, sauta et fendit la foule en courant."
"O y'a sɔrɔ mɔgɔw sɔmina, u y'a bugɔ k'a faga.","Mais les gens étaient aux aguets, ils lui tapèrent dessus jusqu'à ce que mort s'ensuive."
"Bara fililen cɛcira dingɛ dɔ min kɛrɛfɛ, kolikɛba y'i kari o kɔnɔ.","Le tam-tam quant à lui s’était brisé près d’un trou, et le margouillat s’y glissa discrètement."
"N badenw, mɔgɔ kana taga sugu la ko i sinamuso tagara, wa dɔ bɛ to dɔ madegeli la.","Mes frères et sœurs !  On ne doit jamais se rendre au marché juste parce que sa coépouse y va, on peut y rester, en imitant une autre."
"Bamanan ko :  « janfajuru fyeku kojugu, a bɛ fereke i yɛrɛ kan la ».","Les bambaras disent : « À force de manier ta petite corde de trahison, tu finiras par la nouer autour de ton propre cou »."
"Jígi ka só bɛ́ mín ?","Où est la maison de Jigi ?"
"Jígi ka só fílɛ !","Voici la maison de Jigi !"
"Jígi, í ni tìle !","Bonjour !"
"Nbá, Pɔl, í ni tìle !","Merci, Paul ! Bonjour !"
"Í ni báara !","Toi et le travail !"
"Nbá, kàramɔgɔ ka kɛ́nɛ wà ?","Merci ! Le maître se porte-t-il bien ?"
"Tɔ́ɔrɔ t'à lá !","Pas de mal chez lui!"
"Sómɔgɔw ka kɛ́nɛ ?","Les gens de la maison se portent-ils bien ?"
"Tɔ́ɔrɔ tɛ́ sómɔgɔw lá.","Pas de mal chez les gens de la maison."
"Sìgilan fílɛ !","Voici un siège !"
"Báasi tɛ́ !","D'accord !"
"Jígi, í mùso dòn wà ?","Jigi, est-ce ta femme ?"
"Ɔ̀wɔ́, nê mùso dòn.","Oui, c’est ma femme."
"À tɔ́gɔ kó dì ?","Comment s’appelle-t-elle ?"
"À tɔ́gɔ kó : Sìrajɛ.","Elle s’appelle Siraje."
"Sìrajɛ, í ni tìle !","18"
"Ǹsé, í ni tìle !","Merci ! Bonjour !"
"Jígi, í fà tɛ́ wà ?","Jigi, n’est-ce pas ton père ?"
"Ɔ̀wɔ́, nê fà dòn.","Si, c’est mon père."
"Cɛ̀kɔrɔba, í ka kɛ́nɛ ?","22"
"Tàna tɛ́ !","Pas de mal!"
"Jígi, í bá bɛ́ mín ?","Jigi, où est ta mère ?"
"Nê bá sàra.","Ma mère est morte."
"Ála ka hínɛ à lá !","Que Dieu ait pitié d’elle !"
"Àmiina !","Amen !"
"Jɔ̂n dòn ?","Qui est-ce ?"
"Án dén dòn.","C’est notre enfant."
"Ń dén, í tɔ́gɔ bɛ́ dì ?","Mon fils, quel est ton nom ?"
"Nê tɔ́gɔ kó : Baba","Mon nom, c’est Baba."
"Í dɔ́gɔmuso tɔ́gɔ bɛ́ dì ?","Quel est le nom de ta petite sœur ?"
"Nê dɔ́gɔmuso tɔ́gɔ kó : Bátɔgɔma.","Le nom de ma petite sœur, c’est Batogoma."
"Bátɔgɔma man kɛ́nɛ wà ?","Batogoma n’est pas en bonne santé ?"
"Àyí, à man kɛ́nɛ.","Non, elle n’est pas en bonne santé."
"Mùn bɛ́ à lá ?","Qu’est-ce qu’elle a ?"
"Kɔ́nɔboli b'à lá.","Elle a la diarrhée."
"Ála ka nɔ̀gɔya kɛ́ !","Que Dieu facilite ça !"
"Àmiina !","Amen!"
"Sirajɛ, i ni fama !","Siraje, toi et le long temps !"
"Nse, Maria, i ni waati !","Merci, Maria, toi et le temps !"
"I ni tunun !","Toi et la disparition !"
"Ne ma tunun dɛ !","Je n’ai pas du tout disparu ! "
"Kalan nɔ don.","C’est la faute de l’étude."
"Aw bɛ tile joli kɛ kalan na dɔgɔkun kɔnɔ ?","Combien de jours de cours avez-vous dans la semaine ?"
"An bɛ tile duuru kɛ kalan na dɔgɔkun kɔnɔ.","Nous avons cinq jours de cours dans la semaine."
"O ye don jumɛn ni don jumɛn ye ?","Quels sont ces jours ?"
"O ye ntɛnɛndon ni tarata ni araba ni juma ani sibiridon ye.","Ce sont le lundi, le mardi, le mercredi, le vendredi et le samedi."
"Aw tɛ kalan kɛ alamisadon wa ?","N’avez-vous pas de cours le jeudi ?"
"Ayi, alamisadon, an tɛ kalan kɛ.","Non, le jeudi, nous n’avons pas de cours."
"O ye Falajɛ sugu ye.","C’est le marché de Falaje."
"Karidon dun ?","Et le dimanche ?"
"Karidon ye an sɛgɛnnafiɲɛdon ye.","Le dimanche, c’est notre jour de repos."
"Ayiwa, an tɛ taa sugu la wa ?","Et bien, nous n’allons pas au marché ?"
"Ɔwɔ, o ka di n ye !","Oui, cela me plaît !"
"N kɔnɔ, ne bɛ wari ta !","19"
"Sirajɛ ni Maria bɛ taa sugu la.","Siraje et Maria vont au marché."
"Dɔgɔ tɛmɛnnen, i ye sugu jɔ wa ?","La semaine dernière, as-tu fait le marché ?"
"Ɔwɔ, dɔgɔ tɛmɛnnen, ne ye sugu jɔ.","Oui, la semaine dernière, j’ai fait le marché."
"I tun ye mun san ?","Qu'’est-ce que tu avais acheté ?"
"Ne tun ye bara san.","J'avais acheté des calebasses."
"Bara joli ?","Combien de calebasses ?"
"Bara naani.","Quatre calebasses."
"U sɔngɔ ka bon wa ?","Leur prix est-il cher ?"
"Ayi, sisan, bara sɔngɔ ka nɔgɔn.","Non, maintenant, le prix est peu élevé."
"Filenw bɛ feere joli la ?","A combien sont vendues les calebasses ?"
"A ! ne ma o dɔn !","Ah! Je ne le sais pas !"
"U da ka gɛlɛn ni bara da ye wa ?","Leur prix est-il plus cher que celui des calebasses ordinaires ?"
"Ɔwɔ, u da ka gɛlɛn ni bara da ye.","Oui, leur prix est plus cher que celui des calebasses ordinaires."
"I tun ma fɛn feere wa ?","Est-ce que tu n’avais rien vendu ?"
"Ɔwɔ, ne tun ye tiga feere.","Si, j'avais vendu de l’arachide."
"Dɔgɔjɔlaw, aw ni dɔgɔ !","Vous qui faites le marché, vous et le marché !"
"Nba, i ni sugu !","Merci, toi et le marché !"
"Aw bɔyɔrɔmɔgɔw ka kɛnɛ ?","Comment vont les gens du lieu d’où vous venez ?"
"Tɔɔrɔ tɛ, u bɛɛ b'i fo !","Pas de mal, tous te saluent !"
"Ala ka sugu diya !","Que Dieu vous donne un bon marché !"
"Amiina !","Amen!"
"Pati !","Oh!"
"Jama ka bon dɛ !","La foule est vraiment grande !"
"Ɔwɔ, mɔgɔ caman nana.","Oui, beaucoup de gens sont venus."
"O tuma, sugu tɛ jɔ dafɛduguw la wa ?","Alors, n’y a-t-il pas de marché dans les villages environnants ?"
"Ayi, sugu tɛ jɔ dafɛdugu bɛɛ la, fo kelen kelen.","Non, il n’y a pas de marché dans tous les villages environnants, sauf quelques-uns."
"Tiɲɛ na, sugudon ka di !","Vraiment, le jour du marché est agréable !"
"Ɔwɔ, sugudon ka di, a ni selidon ka surun ɲɔgɔn na.","Oui, le jour du marché est agréable, c’est comparable à un jour de fête."
"Kabini u seginna fanga la, utikalo san 2021, Talibanw ye sariya gɛlɛn camanw de sigi.","Depuis qu'ils ont repris le pouvoir en août 2021, les Talibans ont édicté de nombreuses lois sévères."
"O sariya gɛlɛn dɔw bɛ musow ka hakɛ caman bɔsi u la, i n'a fɔ ka kalan kɛ.","Quelques-unes de ces lois sévères privent les femmes de beaucoup de leurs droits, comme celui de faire des études."
"O siratigɛ la, Talibanw ka latigɛ fɔlɔ tun ye musow bɛ se ka kalan kɛ, nka u ni cɛw tɛ fara ɲɔgɔn kan wa muso dɔrɔn de bɛ se ka muso kalan.","Dans ce cadre, la première décision des Talibans a été d'autoriser les femmes à étudier, mais on ne mélange pas les hommes et les femmes, et seules des femmes peuvent enseigner aux femmes."
"O fana kɔ, walasa musow ka se ka na kalansow kɔnɔ, fo cɛ dɔ ka tugu u kɔ k'u bilasira.","En plus de ça, afin que les femmes puissent aller à l'école, il faut qu'un homme les suive pour les accompagner."
"Nka o si ma bɔli kɛ, desanburukalo tɛmɛnen in de, Afiganisitan kalanko minisiri ye latigɛ ta ka musow ka kalanko yɛrɛ jɔ pewu sanfɛkalansow kɔnɔ.","Mais rien de cela ne leur a suffi, en décembre dernier, le ministre de l'Éducation d'Afghanistan a pris la décision d'arrêter totalement les études mêmes des femmes dans les universités."
"O ko kɛra dusutɔɔrɔba ye Afiganisitan jamana kɔnɔ hali jamana kɔkan.","Cela a créé une grande peine en Afghanistan et même à l'étranger."
"Bi fana o dusukasi kelen in de bɛ Raphaela kan ka cɛw dɔrɔn ye ka taga kalansow la, kasɔrɔ musow wajibiyalen don ka to so.","Aujourd'hui encore, cette même peine afflige Raphaella quand elle voit que seuls les hommes partent en cours, alors que les femmes sont obligées de rester à la maison."
"Ale min tun bɛ kalan kɛ Kabul sanfɛkalanso la yanni Talibanw k'u ka latigɛ in ta.","Elle qui faisait ses études à l'université de Kaboul avant que les Talibans ne prennent cette décision."
"Nka musow dɔrɔn tɛ, hali cɛw, Talibanw ka nin latigɛ in bɛnnen tɛ olu fana caman de ma.","Mais ce n'est pas seulement les femmes, les hommes eux aussi, cette décision des Talibans déplaît à un grand nombre d'entre eux."
"I n'a fɔ Mohamed Haseeb, ale ye kalanden dɔ ye Herat dugu kɔnɔ.","Comme Mohammed Haseeb, qui est un étudiant de la ville d'Hérat."
"Ale ka fɔ la, fɛɛrɛ de ka kan ka ɲini teliya la, walasa musow bɛ se ka segin kalansow kɔnɔ cogo min.","Selon lui, il faut vite trouver des solutions afin que les femmes puissent retourner en cours."
"Paul an tɛ taa gatigi fana fo ?","Paul, n’allons-nous pas saluer les chefs de famille aussi ?"
"Gatigi bɛ mɔgɔ joli bɔ dugu kɔnɔ ?","Il y a combien de chefs de famille au village ?"
"I jɔ, n b'a jate : kelen, fila, saba, naani, duuru, wɔɔrɔ, wolonfila, seegin, kɔnɔntɔn, tan, tan ni kelen, tan ni fila... tan ni fila... gatigi ye mɔgɔ tan ni fila ye !","Attends, je les compte : un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix, onze, douze... douze ... Il y a douze chefs de famille !"
"An na se u bɛɛ fɛ wa ?","Est-ce que nous irons chez tous ?"
"Ɔwɔ, an na se u bɛɛ fɛ.","Oui, nous irons chez chacun d’eux."
"Mɔgɔrɔbɔ man ɲi !","Faire des différences entre les personnes n’est pas bien."
"O tɛ tiɲɛ ye wa ?","N'est-ce pas vrai ?"
"O ye tan ni fila ye !","C’est tout à fait vrai !"
"An bɛ Cɛmɔgɔ ka du kɔnɔ tun.","11"
"Paul, ji bɛ ɲɛgɛn rɔ.","12"
"Taa i ko !","Va te laver !"
"N bɛ na !","J'y vais!"
"Ba Musokura, dugutigi ko, ko : « dunan ka to ! »","Maman Musokura, le chef du village dit : «Voici le ""to"" pour l’étranger ! »"
"Paul, ko dugutigi ko, ko : « to ! »","Paul, le chef du village dit: « Voici le ""to""! »"
"Ko : abarika !","Merci !"
"I bɛ to dun n'i bolo ye wa ?","Manges-tu le «to» avec ta main ?"
"Ɔwɔ, ne bɛ to dun ni n bolo ye.","Oui, je mange le «to» avec ma main."
"Musokura, na ni fifalan ye !","Musokura, apporte l’éventail !"
"A kɛra fa ye !","Je suis rassasié ! "
"Abarika !","Merci !"
"I ma dege an ka dumuni na !","Tu n’es pas habitué à notre nourriture !"
"Jatigimuso, i ni ga !","24"
"K'a suma i kɔnɔ !","Que cela se refroidisse en toi !"
"Barokɛlaw nana.","Des gens viennent pour causer."
"Aw ni su !","27"
"Nba !","28"
"Nse !","29"
"Aw ni su !","Bonsoir !"
"Cɛmɔgɔ, an nana i ka dunan baro.","Cemogo, nous sommes venus bavarder avec ton « étranger »."
"O diyara n ye, an bɛ sigi rɔ !","Cela me fait plaisir, asseyez-vous !"
"Paul, i ye kalo joli kɛ Mali la ?","Paul, combien de mois as-tu passé au Mali ?"
"Ne ye kalo kelen ni tila kɛ Mali la.","Jai passé un mois et demi au Mali."
"O man ca.","Ce n’est pas beaucoup."
"I si ye san joli ye ?","Quel est ton âge ?"
"Ne si ye san bi saba ye.","J'ai trente ans."
"A tun bɛ ne kɔnɔ k'a bɛ san bi saba ni duuru bɔ !","Je pensais que tu avais trente-cinq ans !"
"Ayi, a tɛ o bɔ !","Non, ça ne le vaut pas !"
"I fa ni i ba bɛ yen wa ?","As-tu ton père et ta mère là-bas ?"
"Ne fa sara, ne ba de bɛ yen.","Mon père est mort, c’est ma mère qui est là-bas."
"I fa sara, a mɛnna wa ?","Ton père est mort, il y a longtemps ?"
"A san naani ye ɲinan ye.","Cela fait quatre ans cette année."
"I balimaw bɛ yen wa ?","Tu as des frères et sœurs ?"
"Ɔwɔ, kɔrɔ saba bɛ ne fɛ ani dɔgɔ kelen.","Oui, j'ai trois aînés et un cadet."
"Yaa !","Ah bon! "
"I tɛ lagare ye !","Tu n’es pas le dernier-né !"
"Ayi, lagare tɛ ne ye.","Non, je ne suis pas le dernier-né."
"Aw bɛ fa la, aw bɛ ba la wa ?","Êtes-vous du même père, et de la même mère ?"
"Ɔwɔ, an bɛɛ bɛ fa la, an bɛ ba la.","Oui, tous, nous sommes du même père et de la même mère."
"O badenya ka di !","Cette entente familiale est agréable !"
"A ka di dɛ !","Elle est très agréable !"
"Cɛmɔgɔ, dɔ kɛra baro la, an bɛ taa an da.","Cemogo, on a assez causé, nous partons nous coucher."
"Datuma sera wa ?","L'heure de se coucher est-elle arrivée ?"
"Ɔwɔ, a sera !","Oui, c’est arrivé!"
"Dugu tilara !","Il est minuit !"
"Ayiwa, k'an si !","Bon, que nous passions la nuit !"
"Amiina !","Amen ! "
"Ka dugu ɲuman jɛ !","Que l’aube soit bonne !"
"Amiina","Amen!"
"Mɔ̀gɔ bɛ́ yàn wà ?","Y a-t-il quelqu’un ici ?"
"Ɔ̀wɔ́, nê bɛ́ yàn !","Oui, je suis ici !"
"Í ni sɔ̀gɔmà !","Bonjour !"
"Nbá, í ni sɔ̀gɔmà !","Bonjour !"
"Ǹsé, í ni sɔ̀gɔmà !","Bonjour !"
"Hɛ́rɛ sìra wà ?","La nuit s’est-elle passée en paix ?"
"Hɛ́rɛ !","En paix!"
"Sómɔgɔw ka kɛ́nɛ wà ?","Les gens de la maison se portent-ils bien ?"
"Tɔ́ɔrɔ tɛ́ !","Il n’y pas de mal!"
"Í sìra dì ?","Comment as-tu passé la nuit ?"
"Hɛ́rɛ dɔ́rɔn !","En paix seulement !"
"Sìgilan fílɛ !","Voici un siège !"
"Báasi tɛ́ !","Bon!"
"Mìnnɔgɔ b'í lá wà ?","As-tu soif ?"
"Àyí, mìnnɔgɔ tɛ́ ń ná sísàn.","Non, je n’ai pas soif maintenant."
"Hɛ́rɛ b'í lá wà ?","Es-tu en paix ?"
"Hɛ́rɛ !","En paix!"
"Múra b'í lá wà ?","As-tu le rhume ?"
"Ɔ̀wɔ́, múra bɛ́ ń ná.","Oui, j'ai le rhume."
"Kùnkolodimi b'í lá wà ?","As-tu des maux de tête ?"
"Àyí, kùnkolodimi tɛ́ ń ná.","Non, je n’ai pas de maux de tête."
"Ála k'án tìlen hɛ́rɛ lá !","Que Dieu nous fasse passer la journée en paix !"
"Àmiina !","Amen!"
"Sirajɛ, i ni su !","Siraje, bonsoir !"
"Nse, i ni su !","Merci, bonsoir !"
"N nana tun !","Je suis venue de nouveau !"
"O tɛ ko jugu ye, i bɛ i ka so !","Ce n’est pas un mal, tu es chez toi !"
"Cɛkɔrɔba ka kɛnɛ ?","Le vieux se porte-t-il bien ?"
"Tɔɔrɔ t'a la.","Pas de mal en lui."
"A ni denmisɛnw bɛ baro la wa ?","Est-il en conversation avec les enfants ?"
"Ayi, u bɛ nsiirinda la.","Non, ils sont en train de raconter des contes."
"Jigi dun ?","Et Jigi?"
"A bɛ dugu kɔnɔ.","Il est au village."
"An tɛ an sigi kɛnɛ ma ?","Ne nous asseyons-nous pas dehors ?"
"O ka fisa !","C’est préférable !"
"Funteni bɛ so kɔnɔ.","Il fait chaud dans la maison."
"I b'i min ?","Est-ce que tu bois ?"
"Ɔwɔ, n bɛ n min.","Oui, je bois."
"A ! ji tɛ daga kɔnɔ !","Ah! Il n’y a pas d’eau dans le canari !"
"A to yen !","Laisse-le là-bas !"
"Ayi dɛ, ji bɛ kɔlɔn na !","Non, du tout, il y a de l’eau dans le puits!"
"I sigi kurun kan !","Assieds-toi sur le tabouret !"
"Ne ɲɛ tɛ kurun na.","Je ne vois pas de tabouret."
"Kurun bɛ kolon kɔrɔ !","Le tabouret est à côté du mortier !"
"Sirajɛ, ne terimuso ye i ye !","Siraje, tu es mon amie !"
"O ka di n tulo la !","C’est agréable à mes oreilles !"
"O tuma, i tɛ ne kalan bamanankan na wa ?","Alors, ne m’enseignes-tu pas le bambara ?"
"O bɛ diya n ye !","Cela me fait plaisir !"
"Shɛ bɛ si jiginɛ san fɛ wa ?","La poule passe-t-elle la nuit en haut du grenier ?"
"Ɔwɔ, shɛ bɛ si jiginɛ san fɛ.","Oui, la poule passe la nuit en haut du grenier."
"Nka, tile fɛ, a bɛ don jiginɛ jukɔrɔ.","Mais le jour, elle entre sous le grenier."
"O ye tiɲɛ ye.","C’est vrai."
"Jakuma bɛ tabali kan, o man ɲi.","Le chat est sur la table, ce n’est pas bon."
"Bɔ yen !","Va-t’en ! "
"Jigin dugu ma !","Descends par terre !"
"An denw bɛ « kilasi » jumɛn na ?","«Nos» enfants, dans quelle classe sont-ils ?"
"Baba bɛ « 3 ° annee » la.","Baba est en 3° année."
"Batɔgɔma bɛ « 1 ° annee » la.","Batogoma est en 1° année."
"A ! Baba bɛ Batɔgɔma ɲɛ !","Ah! Baba est avant Batogoma !"
"Ɔwɔ, Baba bɛ Batɔgɔma ɲɛ !","Oui, Baba est avant Batogoma !"
"Ala k'u ka kalan nɔgɔya !","Que Dieu facilite leur étude !"
"Amiina !","Amen!"
"Ayiwa, k'an bɛn sini !","Eh bien, au revoir, à demain !"
"Amiina !","Amen!"
"Maria, án tɛ táa dùgutigi bára ?","Maria, n’allons-nous pas chez le chef du village ?"
"Paul, ò ka kán !","Paul, ça convient !"
"Án kélen bɛ táa wà ?","Allons-nous seuls ?"
"Àyí, ò man kán !","Non, cela ne convient pas!"
"Án ni Jígi bɛ táa.","Nous allons avec Jigi."
"Bámànanw fɛ̀, à bɛ kɛ́ tèn wà ?","Chez les Bambara, est-ce que cela se fait ainsi ?"
"Ɔ̀wɔ́, bámànanw fɛ̀, à bɛ kɛ́ tèn !","Oui, chez les Bambara, cela se fait ainsi !"
" Jígi bára. ","Chez Jigi."
"Jígi, án nàna !","Jigi, nous sommes venus !"
"Á yé ń kɔ̀nɔ dɔ́ɔnin !","Attendez-moi un peu !"
"Í bɛ mùn kɛ́ ?","Qu'est-ce que tu fais ?"
"Nê bɛ dùlɔki dòn ń kán ná fɔ́lɔ !","14"
"Í tɛ sàbara fána dòn í sèn ná wà ?","Ne mets-tu pas aussi tes chaussures ?"
"Tìɲɛ dòn, Sìrajɛ, ò dí yàn !","C’est vrai, Siraje, donne-les !"
"Jígi, án tɛ dùgutigi bònya wà ?","Jigi, on n’apporte pas un cadeau au chef de village ?"
"Paul, ò bɛ kɛ́.","Paul, cela se fait."
"Án bɛ mùn sàn ?","Qu’est-ce que nous achetons ?"
"Án tɛ wòro sàn ?","N’achetons-nous pas la kola ?"
"Ò ka ɲì, mɔ̀gɔkɔrɔw bɛ wòro ɲími.","C’est bien, les vieilles personnes croquent la kola."
"Maria, í bɛ mùn fɔ́ ò lá ?","Maria, qu’en dis-tu ?"
"Nê tɛ fóyì fɔ́ ò lá.","23"
"Áw t'áw sìgi kúrun kàn ?","Est-ce que vous ne vous asseyez pas sur le tabouret."
"Àyí, án bɛ táa sísàn.","Non, nous partons tout de suite."
"Sìrajɛ, í bɛ mùn kɛ́ ?","26"
"Nê bɛ ɲɔ̀ sùsu.","Je pile le mil."
"Jígi t'í dɛ̀mɛ ò lá wà ?","28"
"Àyí, Jígi tɛ nê dɛ̀mɛ ò lá.","29"
"Cɛ̀ tɛ ɲɔ̀ sùsu.","L'homme ne pile pas le mil."
"Ála k'án bɛ́ɛ dɛ̀mɛ !","31"
"Àmiina !","32"
"K'án bɛ dùgutigi fò !","Nous saluons le chef du village."
"À nà à mɛ́n !","Il l’entendra."
"Didi Cheik.","Didi Cheik."
"Foli lakurayalen don RFI kanubagaw bɛɛ yɔrɔ nin waati in na","Salutations renouvelées à tous les amateurs de RFI à cet instant."
"Senegali jamana na mɔgɔ caman de bɛ nisɔngoya jirala kabini waati damadɔ ka ɲɛsin u ka kurandisoba Senelek ma.","Au Sénégal, beaucoup sont en train de manifester leur mécontentement depuis quelque temps envers leurs grand distributeur d'électricité, la SENELEC."
"Baarada in jalakilen bɛ kuran sɔngɔ yɛlɛnni de la nin kalo labanw na.","Cet organisme est accusé d'avoir augmenté les tarifs ces derniers mois."
"Mɔgɔ caman ko olu ka jateminɛw na, sigiyɔrɔma fila fo ka taga se saba ɲɔgɔn ma, ko o de farala u ka kuran sarata hakɛ kan.","De nombreuses personnes disent que selon leurs estimations, le montant de leur facture d'électricité a été multiplié par deux et jusqu'à trois environ."
"Nin kalo fila laban in na, Senelek ka yɛrɛɲɛfɔ dantigɛliw la, ale ko funteni juguyali de nana ni kuran sɔngɔ yɛlɛnni ye","Ces deux derniers mois, selon l'exposé de la SENELEC pour s'autojustifier, l'aggravation des températures a entraîné une augmentation des prix de l'électricité."
"Ko bawo ko kurandiminɛnw bɛ jenini kɛ nin waati in na ka tɛmɛ nɛnɛ waati kan.","Ceci, disent-ils, parce que les équipements électriques prennent feu en ce moment plus qu'à la saison froide."
"Senegali jamanadenw ko nin bɛɛ ye wuya.","Les sénégalais disent que tout ça c'est des mensonges."
"Ko kuran baarada in bɛ ka bin mɔgɔw kan dɔrɔn de.","La compagnie d'électricité, disent-ils, fait seulement pression sur les gens."
"Yala aw y'o ko ye cogo di ?","Comment voyez-vous le problème ?"
"Aw bara, kuran sɔngɔko bɛ cogo di ?","Chez vous, qu'en est-il du problème du tarif de l'électricité ?"
